"","CPI_usa_fromBOK_zoo_02","z31","z32","z33","z34","z35","z36","z37","z38","z39","z40","z41","z42","z43","z44","z45","z46"
"92",245.519,94,7,28,93,41,48,24,7,38,90,7,51,37,31,6,11
"93",246.819,83,9,32,88,37,53,38,12,35,87,10,62,41,62,16,14
"94",246.663,83,15,38,86,41,59,46,14,34,88,8,73,43,91,11,15
"95",246.669,90,13,35,88,38,54,45,14,36,97,10,76,39,81,7,21
"96",246.524,89,11,31,85,38,49,38,13,37,100,9,73,42,60,8,10
"97",247.867,93,6,34,92,45,50,34,12,37,96,9,68,45,48,8,14
"98",248.991,92,16,47,96,44,70,56,15,39,93,12,91,54,99,14,15
"99",249.554,91,8,36,95,44,55,45,13,38,94,9,77,41,94,13,16
"100",250.546,90,13,36,95,46,54,50,14,42,96,11,82,41,96,14,36
"101",251.588,91,6,33,98,43,52,40,13,42,97,8,74,35,62,8,36
"102",251.989,97,10,29,95,44,48,32,7,41,91,8,59,34,45,5,13
"103",252.006,99,11,29,100,47,48,35,7,39,96,8,58,31,44,7,8
"104",252.146,92,7,29,96,45,48,38,7,40,93,9,62,32,34,2,9
"105",252.439,85,13,36,91,43,54,50,13,40,93,12,71,34,68,7,13
"106",252.885,85,11,43,93,45,64,59,14,38,94,12,81,43,100,6,18
